plant_name
Broadleaf lupine
Broadleaf maiden fern
Broadleaf maidenhair
Broadleaf meadow grass
Broadleaf milkweed
Broadleaf mock orange
Broadleaf oleaster
Broadleaf penstemon
Broadleaf rice
Broadleaf sally
Broadleaf sermountain
Broadleaf thevetia
Broadleaf tonguefern
Broadleaf whitebeam
Broadleaf wild leek
Broadleaf willowherb
Broadleaved bristlegrass
Broadlobe phacelia
Broadpod jewelflower
Broken hill gidgee
Broken hill mallee
Brome fescue
Broncho grass
Brook alder
Brook saxifrage
Brook thistle
Brookweed
Broom
Broom baccharis
Broom bamboo
Broom brome
Broom brush
Broom celery
Broom of pantelleria
Broom palm
Broom snakeweed
Broom wattle
Broombush
Broome raintree
Broomleaf toadflax
Broomsedge
Broomweed
Broughton willow wattle
Brown bent
Brown bluebell
Brown clover
Brown dogwood
Brown flatsedge
Brown knapweed
Brown kurrajong
Brown lancewood
Brown moor clover
Brown nonea
Brown oak
Brown pine
Brown sterculia
Brown vetchling
Brownhair lacefern
Brownhead rush
Brownish beaksedge
Brushholly
Brushland shrubverbena
Buckhorn cholla
Buckler mustard
Buckley oak
Buckthorn bumelia
Buddlejaleaf viburnum
Buffalo clover
Buffalo euphorbia
Buffalo thorn
Buffelgrass
Buffpetal
Bugloss
Bulblet bladder fern
Bulbous adderstongue
Bulbous barley
Bulbous bittercress
Bulbous bluegrass
Bulbous buttercup
Bulbous comfrey
Bulbous foxtail
Bulbous rush
Bulbous yam
Bulgarian columbine
Bull bay
Bull horn acacia
Bull withe
Bullate cotoneaster
Bulletwood
Bullhorn acacia
Bumelia
Bunchberry
Bunchflower daffodil
Bunchleaf penstemon
Bunchy flat sedge
Bundled fescue
Bungo
Bunny cactus
Buntes lusekraut
Bur buttercup
Bur chervil
Bur clover
Bur medic
Bur oak
Bur pincushionplant
Bur ragweed
Burahol
Burbark
Burgundy gooseneck loosestrife
Buri palm
Burkea
Burless clover
Burma ironwood
Burmese almondwood
Burmese rosewood
Burn nose
Burnet bloodwort
Burnet rose
Burning nettle
Burningbush
Burnt candytuft
Burra acacia
Burrawong
Burrobrush
Bursers steinbrech
Burvine
Burweed
Buryseed umbrella grass
Bush allamanda
Bush basil
Bush beardtongue
Bush chinquapin
Bush clockvine
Bush grass
Bush honeysuckle
Bush lily
Bush lupine
Bush moonflower
Bush muhly
Bush nasturtium
Bush nightfighter
Bush palmetto
Bush penstemon
Bush phlox
Bush seepweed
Bush slipperwort
Bushveld bead bean
Bushveld grape
Bushveld hairy guarri
Bushy aster
Bushy cinquefoil
Bushy lippia
Bushy needlewood
Bushy rattlepod
Busy lizzy
Butter lupine
Butterbough
Butterbur broomrape
Buttercup hemieva
Butterfly mariposa lily
Butterfly tree
Butterfly vine
Butterpips
Butterspoon tree
Button cactus
Button fern
Button mangosteen
Button mangrove
Buttonball
Buttonbush dodder
Buzzy burr
Cabada palm
Cabbage
Cabbage coneflower
Cabbage palm
Cabbage rose
Cabbage thistle
Cabbage tree
Cabbagetree
Cabeca de frade
Cabega
Cabellos de angel
Cachimbo grande
Cactus
Cactus geranium
Cactus spurge
Cade juniper
Cadillo
Cafe falso
Cage thistle
Caimitillo
Caimito
Calabash
Calamint
Calamus
Calendula
California adderstongue
California ash
California ayenia
California bentgrass
California black oak
California brittlebush
California brodiaea
California broomsage
California buckeye
California buckthorn
California bulrush
California buttercup
California caltrop
California compassplant
California copperleaf
California cottonrose
California desertdandelion
California evening primrose
California false indigo
California fan palm
California fescue
California figwort
California flannelbush
